Year,Location,Area,Rainfall,Temperature,Soil type,Irrigation,yeilds,Humidity,Crops,price,Season
2004,Mangalore,1279,2903.1,27,Alluvial,Drip,2570,57,Coconut,200000,Kharif
2004,Mangalore,13283,2903.1,27,Alluvial,Drip,27170,57.5,Coconut,4847,Kharif
2004,Mangalore,52119,2903.1,27,Alluvial,Drip,114744,57,Coconut,51239,Kharif
2004,Mangalore,725,2996.6,27,Alluvial,Drip,1402,55,Coconut,216396,Kharif
2004,Mangalore,12885,2996.6,27,Alluvial,Drip,23456,56,Coconut,2644,Kharif
2004,Mangalore,51179,2996.6,27,Alluvial,Drip,107809,54,Coconut,44235,Kharif
2004,Mangalore,468,3522.8,27.2,Alluvial,Drip,1132,58,Coconut,203317,Kharif
2004,Mangalore,11841,3522.8,27.2,Alluvial,Drip,23960,58,Coconut,2134,Kharif
2004,Mangalore,50975,3522.8,27.2,Alluvial,Drip,126487,59,Coconut,45186,Kharif
2004,Mangalore,206,3729.8,27,Alluvial,Drip,804,50,Coconut,238542,Kharif
2004,Mangalore,10922,3729.8,27,Alluvial,Drip,30362,54,Coconut,1516,Kharif
2004,Mangalore,51390,3729.8,27,Alluvial,Drip,124492,53,Coconut,57259,Kharif
2004,Mangalore,177,2746.2,27,Alluvial,Drip,792,52,Coconut,234779,Kharif
2004,Mangalore,10723,2746.2,27,Alluvial,Drip,34153,51,Coconut,1493,Kharif
2004,Kodagu,51709,2746.2,27,Alluvial,Drip,132551,57,Coconut,64409,Kharif
2004,Kodagu,146,3360,27.2,Alluvial,Drip,338,57,Coconut,249978,Kharif
2004,Kodagu,10910,3360,27.2,Alluvial,Drip,22966,60,Coconut,637,Kharif
2004,Kodagu,51355,3360,27.2,Alluvial,Drip,131763,57,Coconut,43311,Kharif
2004,Kodagu,160,3605.4,27.1,Alluvial,Drip,404,57,Coconut,24848,Kharif
2004,Kodagu,10912,3605.4,27.1,Alluvial,Drip,24184,54,Coconut,761,Kharif
2004,Kodagu,51353,3605.4,27.1,Alluvial,Drip,124387,54.5,Coconut,45608,Kharif
